"","rowname","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","threshold","Gene.Name"
"1","ENSMUSG00000000001",1909.55820174303,0.17197501021403,0.0873499977351239,1.96880383140386,0.0489756221631283,0.151099187556806,"NS","Gnai3"
"2","ENSMUSG00000000028",167.165089394893,-0.110064498385835,0.0966740307314015,-1.1385115273784,0.254906948207522,0.436163601917484,"NS","Cdc45"
"3","ENSMUSG00000000031",35.3602345004645,-0.40863251535385,0.305438736917213,-1.33785426000045,0.180943950026842,0.35201499151615,"NS","H19"
"4","ENSMUSG00000000056",749.198900112547,0.254774933221679,0.0774503364410798,3.28952648792558,0.00100356110299256,0.010695889290292,"NS","Narf"
"5","ENSMUSG00000000058",7839.99627608655,0.0830498640691469,0.110324036741714,0.752781229928888,0.451581387845455,0.626471813021863,"NS","Cav2"
"6","ENSMUSG00000000078",3534.33571954758,0.106220303950282,0.0895409400865774,1.18627639879118,0.235513163890436,0.416262822187337,"NS","Klf6"
"7","ENSMUSG00000000085",707.310502757929,-0.0698036411818117,0.0573721450447998,-1.21668173862603,0.223725329680108,0.403259441145878,"NS","Scmh1"
"8","ENSMUSG00000000088",920.210372628942,-0.0255110127554479,0.144451385215869,-0.176606217498878,0.859817709999173,0.919576204107349,"NS","Cox5a"
"9","ENSMUSG00000000093",744.443511026357,1.25670014828431,0.397470219823095,3.16174668090515,0.00156825925547322,0.0146864901542618,"NS","Tbx2"
"10","ENSMUSG00000000094",23.0546720011228,-0.0993836924295634,0.494962591043627,-0.20079031067785,0.840862539598814,0.907229166495866,"NS","Tbx4"
"11","ENSMUSG00000000120",174.246025686963,1.53069301969186,0.512011710841972,2.98956642451543,0.00279373696167836,0.0221990563629284,"NS","Ngfr"
"12","ENSMUSG00000000126",219.169377288621,-0.523951674910092,0.145085748922527,-3.61132419139161,0.00030463756570683,0.0044785930754392,"Downregulated","Wnt9a"
"13","ENSMUSG00000000127",528.76988590117,-0.053217511726101,0.0683852927911321,-0.778201124160457,0.436450454201391,0.613008786737169,"NS","Fer"
"14","ENSMUSG00000000131",1734.03044105126,-0.00114625206534762,0.0374945594327425,-0.0305711570609001,0.975611544725065,0.986955035446183,"NS","Xpo6"
"15","ENSMUSG00000000134",1426.54336655442,-0.177538223615005,0.0628836530659164,-2.82328101118593,0.00475348872050059,0.0317594442066297,"NS","Tfe3"
"16","ENSMUSG00000000142",849.034520437912,-0.447050098161568,0.137698081618849,-3.24659641518473,0.0011679388068321,0.0119319724953486,"NS","Axin2"
"17","ENSMUSG00000000148",769.327128982186,-0.244438372510534,0.0675811378860246,-3.61696148003276,0.000298081642863329,0.00439154573734962,"Downregulated","Brat1"
"18","ENSMUSG00000000149",2471.50387463524,-0.094436175886389,0.0739067810208131,-1.27777417149036,0.201329063908322,0.376427391553958,"NS","Gna12"
"19","ENSMUSG00000000154",235.41632954416,0.0777392331910453,0.138158182708475,0.562682800736323,0.573650898020685,0.724077237519905,"NS","Slc22a18"
"20","ENSMUSG00000000159",20.1473447199832,3.23692245148699,1.08835515139001,2.97414171040849,0.00293809352175875,0.0229673878633251,"NS","Igsf5"
"21","ENSMUSG00000000167",41.412653347862,0.718769191398378,0.340593493617569,2.11034328273293,0.0348287979801448,0.119826309688466,"NS","Pih1d2"
"22","ENSMUSG00000000168",4000.80218027316,0.389872354356365,0.194471997277651,2.00477374539296,0.0449872405341563,0.142219717904369,"NS","Dlat"
"23","ENSMUSG00000000171",2977.19325460171,-0.0385712709684619,0.105693488198192,-0.364935168911587,0.715159801087493,0.828533681286692,"NS","Sdhd"
"24","ENSMUSG00000000184",8946.11828088279,-0.161917471019796,0.115051096555312,-1.40735269691195,0.159322830445405,0.323319940792392,"NS","Ccnd2"
"25","ENSMUSG00000000194",1506.54446521531,-0.0331098933836786,0.0344188064653708,-0.961970991556341,0.33606417572667,0.520384128833978,"NS","Gpr107"
"26","ENSMUSG00000000197",43.5538798641255,0.00188810801780069,0.36898246833205,0.00511706701496064,0.995917189049819,0.997503927105917,"NS","Nalcn"
"27","ENSMUSG00000000223",43.0480105116199,0.708482028213869,0.306500844297559,2.3115173788104,0.020804294365419,0.0848736680186396,"NS","Drp2"
"28","ENSMUSG00000000244",123.975522600326,-0.313468895806744,0.203961941033659,-1.53689896368958,0.124318053340492,0.276142573845917,"NS","Tspan32"
"29","ENSMUSG00000000253",319.163731783822,0.125357915005932,0.103455742794326,1.2117057170538,0.225625049900633,0.405507429782881,"NS","Gmpr"
"30","ENSMUSG00000000263",37.9605783667431,1.29735879461378,0.27050061057527,4.79613998598637,1.61752263135796e-06,5.93549286000161e-05,"Upregulated","Glra1"
"31","ENSMUSG00000000266",691.380552889192,0.175817407726587,0.123021241908052,1.42916300469471,0.152957388136165,0.315912553243141,"NS","Mid2"
"32","ENSMUSG00000000275",1769.2973150404,0.283301386883538,0.0651855270967209,4.34607802531352,1.38593286719551e-05,0.000374472564155912,"Upregulated","Trim25"
"33","ENSMUSG00000000276",664.338927710374,0.24395644953263,0.0868710768310757,2.80825861071129,0.00498102090804353,0.0328130682104163,"NS","Dgke"
"34","ENSMUSG00000000278",1903.63119552433,-0.0899203388409878,0.0773843452319778,-1.16199650680548,0.245236883865843,0.426113725726824,"NS","Scpep1"
"35","ENSMUSG00000000282",976.583472460985,0.0137269160343535,0.0818656083456439,0.167676223407481,0.866838002306989,0.923301272244756,"NS","Mnt"
"36","ENSMUSG00000000290",948.444547347549,0.118414983311497,0.232400840615504,0.509529066236937,0.610381429951618,0.751916001954647,"NS","Itgb2"
"37","ENSMUSG00000000295",196.115970273774,-0.340304709821184,0.0967124274187489,-3.51872782954481,0.00043362131479682,0.00579586209555479,"Downregulated","Hddc2"
"38","ENSMUSG00000000296",37.0343556818882,0.631655992261265,0.442125301494505,1.42868094209061,0.153095957863314,0.315967399833073,"NS","Tpd52l1"
"39","ENSMUSG00000000301",189.420434882598,-0.046566555179591,0.103875279086273,-0.448292948901877,0.65394178875593,0.782648214002036,"NS","Pemt"
"40","ENSMUSG00000000303",315.345228394317,3.28522450324062,1.10467895214652,2.97391789429593,0.00294023737935151,0.0229673878633251,"NS","Cdh1"
"41","ENSMUSG00000000317",726.993424230772,0.387605885973725,0.18349435319962,2.11235865962619,0.034655698013153,0.119598513249637,"NS","Bcl6b"
"42","ENSMUSG00000000318",1191.20772068966,-0.0866591924279042,0.140863549316775,-0.615199551965174,0.53842294364201,0.698855228236736,"NS","Clec10a"
"43","ENSMUSG00000000320",157.850062421852,1.68382113355962,0.437141148760337,3.85189346355215,0.000117208016804384,0.00213603128436695,"Upregulated","Alox12"
"44","ENSMUSG00000000325",509.824077466393,-0.10723974021689,0.13669217258337,-0.784534609335318,0.43272648238975,0.609657006090942,"NS","Arvcf"
"45","ENSMUSG00000000326",8016.96978708598,-0.622136461760226,0.166673625097544,-3.73266292969944,0.000189466063337062,0.00308724796254996,"Downregulated","Comt"
"46","ENSMUSG00000000339",259.900372044127,-0.0841908685436857,0.10842978667977,-0.77645517086859,0.43748028012132,0.613678989575983,"NS","Rtca"
"47","ENSMUSG00000000340",1942.9666465908,0.277014647997758,0.0935230791015167,2.96199238368816,0.00305655344606196,0.0234652388306443,"NS","Dbt"
"48","ENSMUSG00000000346",3580.99811023633,0.0721819829177204,0.0436424650824645,1.65393918013864,0.0981398708754786,0.236857462262975,"NS","Dazap2"
"49","ENSMUSG00000000355",438.527126595027,0.26433875740888,0.172517485060349,1.53224328140659,0.12546241167784,0.277703520504199,"NS","Mcts1"
"50","ENSMUSG00000000359",256.585841436582,-0.101716193790577,0.132452412261862,-0.767945196720779,0.442519744346821,0.617990929062581,"NS","Rem1"
"51","ENSMUSG00000000365",35.334300270067,0.795899309467386,0.229985682155915,3.46064721075906,0.000538878508287905,0.00677638622763917,"Upregulated","Rnf17"
"52","ENSMUSG00000000374",2040.92531948597,-0.00985144776315458,0.062151483005461,-0.158507042579965,0.874057271641481,0.927562772007383,"NS","Trappc10"
"53","ENSMUSG00000000378",1221.29669289665,-0.245177435088575,0.0753509931144683,-3.25380495936023,0.00113870431051252,0.0117034438570804,"NS","Ccm2"
"54","ENSMUSG00000000384",772.662903464627,-0.00473383726540104,0.0987154415573857,-0.0479543746218178,0.9617526045201,0.97938547503816,"NS","Tbrg4"
"55","ENSMUSG00000000385",385.069998678117,3.48115264910474,1.03928842831215,3.34955393928352,0.000809417941502185,0.00906679174311031,"Upregulated","Tmprss2"
"56","ENSMUSG00000000386",50.5648279646182,0.0846597904136326,0.187743283325353,0.450933790621527,0.652037268726228,0.781315164621797,"NS","Mx1"
"57","ENSMUSG00000000392",272.28483462061,-0.0131896488353278,0.212391033448797,-0.0621007799677551,0.95048257587463,0.972054110641653,"NS","Fap"
"58","ENSMUSG00000000399",2245.06195681363,-0.103502847573609,0.0983636920815723,-1.05224646801357,0.292686485043746,0.476580135839828,"NS","Ndufa9"
"59","ENSMUSG00000000402",84.1827722252492,1.51333816007201,0.691251590133867,2.18927259144379,0.0285770332459348,0.105198158042645,"NS","Egfl6"
"60","ENSMUSG00000000409",67.8963449183932,0.625970807485364,0.270971207659188,2.31010081437388,0.0208825733740424,0.0850675854112199,"NS","Lck"
"61","ENSMUSG00000000416",54.8612835524533,0.202727502812863,0.223526065288054,0.906952406430149,0.364431965986165,0.54817351499974,"NS","Cttnbp2"
"62","ENSMUSG00000000420",1833.87749862495,-0.113780457445302,0.0604662927983811,-1.88171710517613,0.0598744360165219,0.17238354794018,"NS","Galnt1"
"63","ENSMUSG00000000439",606.721952415516,-0.059656776935994,0.0567543380016431,-1.05114038920279,0.293194116424578,0.477013690064402,"NS","Mkrn2"
"64","ENSMUSG00000000440",5031.32039455172,-0.310667504655166,0.101386059572388,-3.06420336252792,0.00218250495522974,0.0185687414210629,"NS","Pparg"
"65","ENSMUSG00000000441",1192.08590348846,-0.0476231601439963,0.0526623641063484,-0.904311094880287,0.365830465315596,0.549619749910507,"NS","Raf1"
"66","ENSMUSG00000000486",192.811203861776,0.134087006369764,0.158216275380859,0.847491865466992,0.39672101924379,0.578227725309832,"NS","Sept1"
"67","ENSMUSG00000000489",1556.60019554904,0.159809869187329,0.0912587613322549,1.75117289402487,0.0799161330359899,0.207929242885064,"NS","Pdgfb"
"68","ENSMUSG00000000530",1921.63224846135,-0.293160005982335,0.0838693221353718,-3.49543788501297,0.000473284598110365,0.00616517808875592,"Downregulated","Acvrl1"
"69","ENSMUSG00000000531",365.149746700638,-0.11899918646254,0.115491328117418,-1.03037334839163,0.302834779261969,0.485673120369822,"NS","Grasp"
"70","ENSMUSG00000000532",989.160894873452,-0.293455097790247,0.115710222811324,-2.53612075632033,0.0112088075577776,0.0559187319705358,"NS","Acvr1b"
"71","ENSMUSG00000000538",2707.87012831341,-0.0796478703410001,0.0409900247348282,-1.94310373941603,0.0520036253120192,0.157181156339627,"NS","Tom1l2"
"72","ENSMUSG00000000552",2146.01710105022,-0.302312213032155,0.0973994858681501,-3.10383787283432,0.00191027979076531,0.0168323634556989,"NS","Zfp385a"
"73","ENSMUSG00000000555",1549.27170822917,-0.123529173944846,0.121617973980694,-1.01571478212961,0.309765226705708,0.493185884019652,"NS","Itga5"
"74","ENSMUSG00000000561",398.92916771789,0.249386148397788,0.0852622069157333,2.92493189443551,0.00344531616959616,0.0255152590418594,"NS","Wdr77"
"75","ENSMUSG00000000563",2601.5155470527,-0.00702815810076184,0.0916936463868404,-0.0766482562064464,0.938903368937244,0.96563744003255,"NS","Atp5pb"
"76","ENSMUSG00000000567",288.946965383487,1.66782223330376,0.348946665044566,4.77959069501568,1.75652422160917e-06,6.37788873536517e-05,"Upregulated","Sox9"
"77","ENSMUSG00000000568",1475.18381073516,0.170515865372019,0.0707447430562261,2.41029733101861,0.0159395244589401,0.0704046556082303,"NS","Hnrnpd"
"78","ENSMUSG00000000581",649.338715203432,-0.0108868388021302,0.0480307266994208,-0.226664045086403,0.820684987314948,0.89509272426009,"NS","C1d"
"79","ENSMUSG00000000594",6613.34189053802,0.00572724292270331,0.0624302794367396,0.0917382234129949,0.926906027532706,0.959092981378432,"NS","Gm2a"
"80","ENSMUSG00000000600",666.299964020769,-0.0191115701946821,0.121191549459848,-0.157697217997976,0.874695392780045,0.927950663377199,"NS","Krit1"
"81","ENSMUSG00000000605",1433.15975655771,-0.0507639834994294,0.0704230130050089,-0.720843675004629,0.471005700530725,0.644244894318968,"NS","Clcn4"
"82","ENSMUSG00000000628",3934.87573812901,-0.24478893413844,0.152703303021699,-1.60303627553921,0.10892664547101,0.253685389469016,"NS","Hk2"
"83","ENSMUSG00000000631",1869.01120165194,0.0259962500772349,0.095354027744276,0.272628757192645,0.785138603989837,0.872909061126368,"NS","Myo18a"
"84","ENSMUSG00000000632",65.681441762155,0.397432185420104,0.22432691332346,1.7716651984911,0.0764501498804841,0.202073016728484,"NS","Sez6"
"85","ENSMUSG00000000673",77.7892717562492,0.576071304458002,0.321436914750305,1.79217531659517,0.0731048872616733,0.196222935657351,"NS","Haao"
"86","ENSMUSG00000000682",379.039904415704,0.208657530755207,0.165524988311739,1.26058024763146,0.207460118873342,0.38440976218776,"NS","Cd52"
"87","ENSMUSG00000000686",792.736026991756,-0.157683738029751,0.0944025189191661,-1.67033401052328,0.0948532977380332,0.231224761393472,"NS","Abhd15"
