"","PC1","PC2","group","Group","Sex","name"
"ERR4873299",-9.85743927832706,5.27366997072893,"Trim28KO:female","Trim28KO","female","ERR4873299"
"ERR4873300",-11.6947378982718,9.5630850374907,"Trim28KO:female","Trim28KO","female","ERR4873300"
"ERR4873301",-8.20867268818713,3.14910056077586,"Trim28KO:female","Trim28KO","female","ERR4873301"
"ERR4873302",-10.5909150131976,7.01922614977084,"Trim28KO:female","Trim28KO","female","ERR4873302"
"ERR4873303",-7.64133410345677,23.9701431367831,"Trim28KO:female","Trim28KO","female","ERR4873303"
"ERR4873304",0.621848275944107,-7.16618605341129,"Trim28KO:male","Trim28KO","male","ERR4873304"
"ERR4873305",25.5471677937827,7.3221628753028,"Trim28KO:male","Trim28KO","male","ERR4873305"
"ERR4873306",30.8093590569175,11.9330816816879,"Trim28KO:male","Trim28KO","male","ERR4873306"
"ERR4873307",0.893429461862343,-11.6345780840532,"Trim28KO:male","Trim28KO","male","ERR4873307"
"ERR4873308",1.01831999128339,-13.2918431489668,"Trim28KO:male","Trim28KO","male","ERR4873308"
"ERR4873309",28.5064704770351,8.64302474095075,"Trim28KO:male","Trim28KO","male","ERR4873309"
"ERR4873310",-8.84566271125454,0.358956869387938,"WT:female","WT","female","ERR4873310"
"ERR4873311",-3.03140814831199,1.8944166850686,"WT:female","WT","female","ERR4873311"
"ERR4873312",-12.5920013846774,15.6798714168954,"WT:female","WT","female","ERR4873312"
"ERR4873313",-10.61424128378,3.21593482602006,"WT:female","WT","female","ERR4873313"
"ERR4873314",-10.5327303034506,4.64926814077972,"WT:female","WT","female","ERR4873314"
"ERR4873316",0.117949954888843,-13.0592342760439,"WT:male","WT","male","ERR4873316"
"ERR4873317",-0.485250574452051,-13.5666164858511,"WT:male","WT","male","ERR4873317"
"ERR4873318",7.34534878227642,-6.37671267050152,"WT:male","WT","male","ERR4873318"
"ERR4873319",0.209519299092943,-13.4309787322728,"WT:male","WT","male","ERR4873319"
"ERR4873320",0.37752676429954,-13.9388825692793,"WT:male","WT","male","ERR4873320"
"ERR4873321",-1.35254647001591,-10.2069100712627,"WT:male","WT","male","ERR4873321"
