"","PC1","PC2","group","Group","Sex","name"
"ERR4873299",-9.11086682185635,5.26301119897659,"Trim28KO:female","Trim28KO","female","ERR4873299"
"ERR4873300",-3.90368758177402,7.45684763731555,"Trim28KO:female","Trim28KO","female","ERR4873300"
"ERR4873301",-5.22363587310287,5.76437630211134,"Trim28KO:female","Trim28KO","female","ERR4873301"
"ERR4873302",-7.00408761703066,7.68737856105664,"Trim28KO:female","Trim28KO","female","ERR4873302"
"ERR4873303",35.6388525992143,-2.4594040382852,"Trim28KO:female","Trim28KO","female","ERR4873303"
"ERR4873310",-9.44511279987845,-4.53494585552553,"WT:female","WT","female","ERR4873310"
"ERR4873311",-3.17066250134544,-21.1084086274647,"WT:female","WT","female","ERR4873311"
"ERR4873312",12.8080556528325,7.37907737908514,"WT:female","WT","female","ERR4873312"
"ERR4873313",-8.11616147433189,-5.47904153995592,"WT:female","WT","female","ERR4873313"
"ERR4873314",-2.47269358272717,0.0311089826860559,"WT:female","WT","female","ERR4873314"
