"","PC1","PC2","group","Group","Sex","name"
"ERR4873304",-5.42748022395709,-5.14167287753281,"Trim28KO:male","Trim28KO","male","ERR4873304"
"ERR4873305",19.8129492375761,-1.15276304573741,"Trim28KO:male","Trim28KO","male","ERR4873305"
"ERR4873306",26.8660059097071,-0.00651261899776913,"Trim28KO:male","Trim28KO","male","ERR4873306"
"ERR4873307",-7.80885877541521,-6.7839164169882,"Trim28KO:male","Trim28KO","male","ERR4873307"
"ERR4873308",-8.86115021228758,-8.6577876240267,"Trim28KO:male","Trim28KO","male","ERR4873308"
"ERR4873309",22.9410480503007,0.540068254611918,"Trim28KO:male","Trim28KO","male","ERR4873309"
"ERR4873316",-9.34863266243275,2.2946475148314,"WT:male","WT","male","ERR4873316"
"ERR4873317",-9.91931641885216,3.6852373504553,"WT:male","WT","male","ERR4873317"
"ERR4873318",-1.17026390644065,6.17797031666989,"WT:male","WT","male","ERR4873318"
"ERR4873319",-9.0801465275418,3.4053709985082,"WT:male","WT","male","ERR4873319"
"ERR4873320",-9.53201285601561,2.86699120184896,"WT:male","WT","male","ERR4873320"
"ERR4873321",-8.47214161464114,2.77236694635722,"WT:male","WT","male","ERR4873321"
