"","ERR4873304","ERR4873305","ERR4873306","ERR4873307","ERR4873308","ERR4873309","ERR4873316","ERR4873317","ERR4873318","ERR4873319","ERR4873320","ERR4873321"
"ENSMUSG00000000159",0,52.7586932193413,68.7922318293933,3.53877111307954,2.54552484196506,71.0127177910161,0,2.92853246434024,5.92165836862804,2.52883234913807,0,1.16851767776114
"ENSMUSG00000000168",4731.66294260598,3408.67035321483,3152.97729218052,3635.49752350371,4040.5964324792,3394.18599566747,3183.74204451323,3055.92362653904,2489.46517817123,2603.85437549583,2920.63091365927,2934.14788885823
"ENSMUSG00000000263",74.965768894969,77.991111715548,63.6328144421888,80.2121452298028,41.5769057520959,72.1222915065007,26.497212918484,26.3567921790622,26.0552968219634,19.3877146767252,24.012495331547,9.34814142208913
"ENSMUSG00000000275",1878.55397348569,1908.488380804,2117.08093454958,1912.11599143398,2148.42296661851,1673.23716295082,1521.55149566526,1497.94435551003,1199.72798548404,1531.62945946129,1537.68905289795,1468.82672094575
"ENSMUSG00000000303",4.40975111146876,758.119482999665,1038.18943202526,2.35918074205302,5.09104968393012,790.016485425054,2.03824714757569,1.46426623217012,58.0322520125548,9.27238528017292,9.78286846840803,4.67407071104456
"ENSMUSG00000000320",40.5697102255126,463.358957839432,604.798371500082,60.1591089223521,44.970938874716,581.416626913944,41.7840665253017,55.6421168224646,148.041459215701,36.2465970043123,46.2462873052016,44.4036717549234
"ENSMUSG00000000326",5158.52685019616,4126.64735224326,3638.53579517633,5881.43758993819,6761.76248853985,4568.11498665021,8034.77025574338,10255.7206901195,9936.54274255786,7660.67612965559,8941.54178012494,7039.15049083311
"ENSMUSG00000000365",89.9589226739628,80.2849679424759,69.3655004279715,44.8244340990075,59.3955796458513,32.1776377490542,30.5737072136354,16.1069285538713,24.8709651482378,49.733702866382,31.1273087631165,23.3703535552228
"ENSMUSG00000000385",1.76390044458751,184.655426267695,314.151192020896,3.53877111307954,5.93955796458514,329.543393498934,3.05737072136354,4.39279869651036,18.9493067796097,5.05766469827614,2.66805503683855,11.6851767776114
"ENSMUSG00000000402",1.76390044458751,216.769413444685,243.06588579719,1.17959037102651,3.39403312262008,123.162682418794,2.03824714757569,7.3213311608506,22.5023018007866,10.1153293965523,5.33611007367711,10.5166590998503
"ENSMUSG00000000530",1797.41455303467,1972.71635515798,1784.0118787756,2021.81789593944,1687.68297022283,1619.97762460755,2075.95471980584,2200.79214695169,2542.76010348888,2213.57124961219,2174.46485502342,1922.21157991708
"ENSMUSG00000000532",747.893788505102,903.779353409586,845.571182902959,1042.75788798744,885.84264500384,987.520606781318,1068.04150532966,1137.73486239618,1185.51600539933,1175.9070423492,1119.69376379325,1077.37329889577
"ENSMUSG00000000561",408.342952922007,443.861179910545,456.895073066887,424.652533569544,425.102648608165,433.843322754489,369.941857284988,341.174032095638,300.820245126305,401.241399396573,354.851319899528,343.544197261775
"ENSMUSG00000000567",180.799795570219,1059.76157684068,1278.96224342814,140.371254152155,191.762871428034,1151.73751667304,138.600806035147,247.46099323675,234.497671397671,103.682126314661,114.726366584058,153.075815786709
"ENSMUSG00000000732",377.474695141726,661.777521468694,617.983549267383,480.09328100779,477.710162008776,726.770783642431,368.922733711201,373.387889203381,367.142818854939,384.382517068986,377.974463552128,386.779351338938
"ENSMUSG00000000753",2505.62058153655,3186.16629920283,2547.60565208186,2641.10284072836,3756.34615845977,2953.68523062008,4102.99150806987,5572.99727963948,4982.48335136364,4312.50209939678,5284.52767629823,4180.95625102936
"ENSMUSG00000001036",2536.48883931683,2414.2836788416,2443.27076714062,2729.57211855535,2589.64727255912,2760.61940412575,1762.06465907919,1830.33279021265,1691.22563008017,1948.88679706907,2277.62964978118,1737.58578683082
"ENSMUSG00000001100",2521.49568553784,2104.61308820633,1915.29038785002,2210.55235530368,2260.42605966497,2098.20389598143,2630.35794394643,3014.92417203828,3078.07802001286,2308.82393476306,2716.96937918059,2520.49263093078
"ENSMUSG00000001138",812.276154732546,754.678698659273,763.020504707687,749.039885601835,867.17546282943,738.976094512761,1053.77377529663,983.98690801832,1041.02754120481,935.667969181085,1022.75443078811,975.712260930553
"ENSMUSG00000001157",522.114531597902,446.155036137473,522.247693304811,445.885160248022,380.980218014104,468.240107934512,279.23985921787,325.067103541767,322.138215253366,379.32485237071,338.842989678496,369.251586172521
"ENSMUSG00000001249",43.2155608923939,377.339349329637,630.022189837527,44.8244340990075,27.1522649809606,517.061351415836,24.4589657709083,39.5351882685932,85.2718805082438,17.7018264439665,23.1231436526008,43.2351540771622
"ENSMUSG00000001270",1190.63280009657,2828.32472780208,3388.5906861962,1153.63938286393,1291.42960315694,3344.25517847066,1026.25743880436,1161.16312211091,1474.49293378838,868.232439870737,1011.19285896181,1004.92520287458
"ENSMUSG00000001313",116.417429342775,112.398955119466,96.8823931597288,95.5468200531475,111.154584765808,110.957371548463,179.365748986661,177.176214092585,164.62210264786,162.688214461216,196.546721047107,195.142452186111
"ENSMUSG00000001348",8736.59890204191,6222.08501554188,5665.04029115054,6551.44492068125,6900.91784656727,5818.60456400138,8002.15830138217,9875.01146975529,11819.6301037816,7721.3681060349,10060.3461922392,7428.26687752757
"ENSMUSG00000001472",7116.45634368829,6795.54907227385,6783.48732697675,6875.83227271354,6822.00657646635,6910.42510003825,7489.53914376689,8628.92090617851,8338.87931470201,7247.6335126297,8026.39890248931,7247.1466374746
"ENSMUSG00000001552",6734.5718974351,6595.98358053113,6704.94952897153,8027.11247483541,6763.45950510116,6596.41573855611,10066.9026618764,10984.9252737402,10565.4228613062,9923.13813801778,11631.8306089371,8155.084873095
"ENSMUSG00000001661",614.719304938746,552.81935068962,392.68899002612,697.137909276669,770.445518834758,584.745348060398,874.408026309972,1045.48608976947,1018.52523940402,799.953966444009,846.662798356768,945.330801308763
"ENSMUSG00000001741",364.24544180732,342.931505925718,271.156047127525,377.468918728484,449.70938874716,284.050871164064,415.802418105441,549.099837063795,563.74187669339,484.69286691813,404.655013920514,625.15695760221
"ENSMUSG00000001761",979.846696968359,1167.57281950629,1097.8093662774,1088.76191245747,1201.48772540751,1201.66833386985,1535.81922569828,1888.90343949945,1601.21642287702,1822.44517961217,1633.73903422414,1916.36899152827
"ENSMUSG00000001763",46.7433617815689,350.960002719966,469.506982235609,42.4652533569544,50.0619885586461,421.638011884158,33.6310779349989,45.3922531972737,114.880172351384,33.7177646551742,25.7911986894393,39.7296010438788
"ENSMUSG00000001794",7189.65821213867,6004.16867398373,5585.92922454673,7084.61976838523,6998.4962988426,6403.34991206178,7467.11842514355,9018.41572393577,9661.77779425352,7323.49848310384,8246.95811886797,7514.7371856819
"ENSMUSG00000001827",28.2224071134001,252.324184962067,322.75022099957,18.8734459364242,50.0619885586461,319.557230059572,8.15298859030277,29.2853246434024,46.1889352752987,50.5766469827614,24.012495331547,19.8648005219394
"ENSMUSG00000001910",1454.3359165624,1434.80706994339,1273.80282604093,1365.9656496487,1305.00573564742,1421.36392953581,1578.62241579737,1697.08456308517,1637.93070476252,1460.82215368542,1496.77887566643,1562.30813516665
"ENSMUSG00000001911",6219.51296761554,7489.44058091954,5689.6908408894,6058.37614559217,6335.81133165103,6807.23474449818,7695.40210567203,8173.53410797361,7741.97615114431,7247.6335126297,7464.32864139533,7118.60969292087
"ENSMUSG00000001995",971.027194745422,1007.00288362134,925.828786703918,933.055983481971,965.602423385412,1071.84820915815,735.807220274825,831.703219872628,662.041405612615,759.4926488578,718.596156588517,722.143924856385
"ENSMUSG00000001999",1316.75168188457,1024.2068053233,999.780435920516,1314.06367332353,1215.91236617864,1025.2461131078,820.394476899217,773.132570585823,727.179647667524,693.74300778021,853.777611788337,691.762465234596
"ENSMUSG00000002032",31.7502080025751,125.01516436757,168.540967982014,21.2326266784772,13.5761324904803,149.792451590425,14.2677300330299,17.5711947860414,35.5299502117683,13.4871058620697,27.5699020473317,14.0222121331337
"ENSMUSG00000002059",2344.22369085679,1960.10014590988,1765.09401502252,2092.59331820103,2184.90882268667,2109.29963313628,2488.69976718992,2843.60502287437,3009.38678293677,2243.07429368547,2509.75043798613,2379.10199192168
"ENSMUSG00000002227",639.413911162971,658.336737128302,562.949763803868,579.178872174017,536.257233373972,616.922985809452,776.572163226339,812.667758854416,770.999919595371,648.224025495725,693.694309578024,747.85131376713
"ENSMUSG00000002279",591.788599159108,516.117651058774,505.049635347462,548.509522527328,547.287841022487,519.280498846805,687.908412306797,837.560284801309,908.382393747542,652.438746077622,761.285037177934,654.369899546239
"ENSMUSG00000002325",766.414743173271,893.45700038841,917.229757725244,712.472584100013,694.928281856461,859.919629500586,668.545064404827,600.349155189749,630.064450422024,641.48047256469,644.779967235984,681.245806134745
"ENSMUSG00000002732",455.086314703576,399.130983485452,392.115721427542,490.709594347029,605.834912387684,428.295454177066,566.632707026043,610.59901881494,611.115143642414,654.12463431038,665.235055851746,628.662510635494
"ENSMUSG00000002763",1424.34960900441,1310.93883368928,1348.90101245469,1259.80251625631,1120.87943874528,1355.89908032221,1689.70688534025,1890.36770573162,2322.47441217592,1627.72508872854,1888.9829660817,1623.07105441022
"ENSMUSG00000002778",2565.59319665253,2315.6478610837,2363.58643193824,2613.97226219475,2540.43379228113,2448.82919007457,2732.27030132522,3146.70813293359,3214.2761624913,2828.07751045274,2917.07350694348,2714.46656543913
"ENSMUSG00000002808",135.820334233238,120.427451913714,104.334884941246,193.452820848348,275.765191212881,147.573304159455,347.521138661656,371.92362297121,290.161260062774,473.734593405198,364.634188367936,335.364573517447
"ENSMUSG00000002812",3916.74093720656,3853.67846123884,3568.59702614978,4209.95803419362,3730.89091004012,3672.68899825411,4418.9198159441,4698.83033903391,5022.75062827031,4153.18566140109,4546.36578277289,4235.87658188414
"ENSMUSG00000002831",79719.4805931323,72637.2512818983,56907.800512267,74769.5152578865,70969.2325939858,58506.7124437889,119404.594399279,121812.307854232,121491.11175412,121478.362499662,138768.21052101,107608.792945023
"ENSMUSG00000002833",1393.48135122413,1398.10537031254,1425.71900466418,1288.11268516095,1030.08905271519,1406.93947123451,1657.09493097904,1568.2291346542,2066.65877065119,1777.76914144406,2210.03892218127,1530.75815786709
"ENSMUSG00000002847",393.349799143014,487.444448222175,601.358759908613,908.284585690414,945.238224649691,881.001530094794,1153.64788552784,1429.12384259804,1538.44684416957,1308.24926862076,1044.98822276177,1105.41772316204
"ENSMUSG00000002885",1676.58737258042,1621.75635243801,1256.03149948501,2192.85849973829,2231.5767781227,1545.63618567008,2765.90137926022,3114.49427582584,3266.38675613523,2932.60258088378,3216.78502274835,2533.34632538615
"ENSMUSG00000003198",76.7296693395565,92.9011771905792,120.386405701438,76.6733741167233,87.396352907467,103.19035554007,49.9370551156045,39.5351882685932,30.7926235168658,81.7655792887975,48.9143423420401,61.9314369213405
"ENSMUSG00000003309",1.76390044458751,166.304576452271,256.824332163068,1.17959037102651,0.848508280655019,215.257300804018,0,0,14.2119800847073,0.842944116379356,1.77870335789237,2.33703535552228
"ENSMUSG00000003344",1117.43093164618,1048.29229570604,935.00108428117,1160.71692509009,976.633031033927,1137.31305837174,1232.12040070951,1420.33824520502,1614.244071288,1229.85546579748,1317.1298365193,1166.18064240562
"ENSMUSG00000003345",2924.54693712608,2861.58564309253,2505.75704438565,2966.66978313168,2856.07887268479,2881.56293911358,3148.07271943066,3900.8052425012,3928.42816174784,3118.89323060362,3589.4233762268,3062.68483341195
"ENSMUSG00000003410",146.403736900763,75.6972554886201,68.7922318293933,86.1100970849354,95.8814357140172,116.505240125886,33.6310779349989,40.9994545007634,41.4516085803963,32.8748205387949,45.3569356262554,35.0555303328342
"ENSMUSG00000003500",1651.01081613391,1335.02432407203,982.009109364589,1616.03880830632,1637.62098166419,1270.4619042299,1975.06148600085,2640.07201660273,2117.58503262139,1743.20843267251,2012.60284945522,1644.10437260993
"ENSMUSG00000003534",2557.65564465188,3878.91087973505,3496.36518272891,3324.08566555271,3239.60461554086,4477.12994198047,2387.80653338492,2685.4642698,2786.73242827636,2622.39914605618,2374.56898278631,2682.91658813958
"ENSMUSG00000003809",996.603751191941,823.49438546711,900.031699767895,817.456127121373,799.294800377028,933.151494722571,1076.19449391997,1102.5924728241,1119.1934316707,983.715783814708,1147.26366584058,1034.13814481861
"ENSMUSG00000003810",1785.06724992256,1944.04315232138,1580.50152628031,2048.94847447305,2135.69534240868,1779.75623963734,2415.3228698772,2574.18003615507,2464.59421302299,2340.85581118547,2483.06988761775,2269.26133021214
"ENSMUSG00000003863",107.597927119838,147.953726636848,77.3912608080674,100.265181537254,196.853921111964,77.6701600839239,225.226309807114,344.102564559978,271.211953283164,219.165470258633,311.273087631165,251.231300718645
"ENSMUSG00000003949",681.747521833071,872.812294346059,943.026844661266,576.819691431964,386.071267698034,892.09726724964,335.291655776202,251.853791933261,305.557571821207,536.11245801727,542.504524157173,487.271871626396
"ENSMUSG00000003992",357.18984002897,407.159480279699,339.948278956918,377.468918728484,408.132482995064,372.816768402835,261.914758463477,269.424986719302,288.976928389049,279.857446637946,290.817999015402,255.90537142969
"ENSMUSG00000004035",236.362659574726,2262.88916786436,3368.52628524596,136.832483039075,166.307623008384,2438.84302663521,144.715547477874,142.033824520502,485.5759862275,124.755729224145,136.070806878766,95.8184495764136
"ENSMUSG00000004044",49271.9130688851,42201.2199349057,31623.7889719721,49045.0084465403,52290.1713036462,34651.9871345849,55250.7654293343,57271.8451388699,58913.3947778067,58689.9841029127,64456.6522833037,50600.3210000907
"ENSMUSG00000004056",3944.08139409766,3604.79506061717,2896.72622861603,4425.82307209147,4105.93157008964,3905.69947850589,5196.51110274423,5214.2520527578,5363.83815030328,4528.2957931899,5366.34803076128,4744.18177171023
"ENSMUSG00000004105",5104.72788663624,5010.92892772396,3375.4055084289,4625.17384479495,4504.7304619975,4200.8460868248,5571.54857789816,7007.97818716619,5888.49708176373,6947.54540719865,6738.61767137524,5362.32762324588
"ENSMUSG00000004558",5058.86647507696,4708.13990576948,5543.50734825194,4822.16543675638,4853.46736534671,3963.39731171109,8109.1662766299,9875.01146975529,8602.98527794282,8772.51941915996,9726.83931263442,6396.46576806449
"ENSMUSG00000004631",1703.04587924924,1474.94955391463,1429.73188485422,1956.94042553298,1682.5919205389,1444.66497756098,2054.5531247563,2342.82597147219,2074.94909236727,2405.76250814668,2391.46666468629,2018.03002949349
"ENSMUSG00000004637",508.003328041202,479.415951427927,592.18646233136,424.652533569544,383.525742856069,507.075187976474,335.291655776202,314.817239916576,318.585220232189,281.543334870705,319.27725274168,282.781278018196
"ENSMUSG00000004791",114.653528898188,283.291244025593,364.598828695784,102.624362279307,87.396352907467,375.035915833804,88.6637509195427,89.3202401623773,108.958513982756,97.7815175000053,104.054146436704,84.1332727988022
"ENSMUSG00000004951",767.296693395565,558.553991256939,690.788661286824,832.790801944717,924.025517633316,552.567710311344,1024.21919165679,1174.34151820044,1406.98602838602,1163.26288060351,1170.38680949318,1066.85663979592
"ENSMUSG00000005043",615.601255161039,584.93333786661,413.899928173516,734.884801149517,804.385850060958,527.047514855198,866.25503771967,1106.98527152061,996.022937603237,815.969904655217,802.195214409458,855.354940121155
"ENSMUSG00000005107",144.639836456175,142.219086069529,154.209253017557,140.371254152155,162.065081605109,174.203073331086,108.027098821512,102.498636251908,90.0092072031463,114.640399827592,114.726366584058,92.3128965431302
"ENSMUSG00000005198",3832.07371586636,4112.88421488169,4207.79151356456,4099.07653931713,4368.12062881204,3780.31764865612,4822.49275116409,5094.18222171985,5065.38656852443,4796.35202219854,5012.3860625407,5088.89448664977
"ENSMUSG00000005220",12.3473031121125,166.304576452271,244.785691592924,10.6163133392386,3.39403312262008,175.312647046571,9.17211216409062,4.39279869651036,13.0276484109817,7.5864970474142,3.55740671578474,18.6962828441783
"ENSMUSG00000005338",309.564528025107,365.870068194997,326.18983259104,582.717643287097,461.588504676331,555.896431457798,674.659805847555,737.99018101374,733.101306036152,665.082907823312,538.057765762442,616.977333857883
"ENSMUSG00000005374",1205.62595387556,1056.32079250029,888.56632779633,1202.00258807602,1198.94220056554,1133.98433722529,1474.67181127101,1434.98090752672,1454.35929533505,1378.21363028025,1680.87467320829,1337.95274103651
"ENSMUSG00000005417",8788.63396515725,9305.02778453295,8151.30620318452,9673.82063278843,10385.7413552174,7987.82117777383,11635.3338419358,13336.5368426055,11608.8190658584,11438.7516592679,12070.2809866576,10302.82036482
"ENSMUSG00000005514",13611.1377806595,10239.7741970061,9887.73678827813,10407.5258435669,7286.98911426531,10137.0654646675,13454.4694211472,14005.7065107072,14800.5929265489,12816.1223454317,15095.8553984325,12130.3820128384
"ENSMUSG00000005566",911.054579629446,1300.61648066811,1460.68838917745,1053.37420132668,980.875572437202,1394.73416036418,2104.4901798719,2404.32515322334,2637.50663738693,2111.57501153029,2414.58980833889,2187.46509276886
"ENSMUSG00000005686",1992.32555216159,1694.01282358624,1735.28404789645,1736.35702615103,1600.28661731537,1633.29250919337,1604.10050514207,1448.15930361625,1279.07820762366,1518.9852977156,1439.86036821387,1375.34530672486
"ENSMUSG00000005836",468.315568037983,321.139871769904,401.861287603372,363.313834276166,337.706295700698,421.638011884158,608.416773551344,446.601200811887,654.935415570262,577.416719719859,474.024444878316,816.793856755038
"ENSMUSG00000005947",92.604773340844,80.2849679424759,60.7664714492974,88.4692778269884,76.3657452589517,77.6701600839239,151.849412494389,146.426623217012,121.986162393738,110.425679245696,118.283773299843,164.760992564321
"ENSMUSG00000006205",4092.24903144301,4244.78094793005,3840.32634187588,4490.70054249793,5724.03686129876,4401.67892932751,5286.19397723756,6861.55156394918,6229.5846037967,5970.57317631498,6271.70803992849,5358.82207021259
"ENSMUSG00000006219",666.754368054077,745.503273751562,765.886847700578,582.717643287097,767.051485712137,571.430463474583,554.403224140589,405.601746311123,476.101332837695,496.494084547441,450.901301225716,536.349614092364
"ENSMUSG00000006221",379.238595586314,839.551379055605,489.571383185849,1063.99051466591,782.324634763928,391.679521566073,2008.69256393585,2181.75668593348,1823.87077753744,2315.56748769409,3157.19846025896,1069.19367515144
"ENSMUSG00000006281",2164.30584550887,1890.13753098858,1757.06825464242,2359.18074205302,2340.18583804654,1980.58908214006,2596.72686601143,2654.71467892443,2476.43752976025,2446.22382573289,2423.48332512835,2656.04068155107
"ENSMUSG00000006289",599.726151159752,442.714251797081,496.450606368788,555.587064753487,479.407178570086,497.089024537113,596.18729066589,670.633934333915,896.539077010286,638.108696099172,667.903110888584,635.673616702061
"ENSMUSG00000006310",79.3755200064377,71.1095430347644,49.3010994777318,69.5958318905642,61.0925962071614,61.0265543516545,86.625503771967,98.105837555398,92.3778705505975,93.5667969181085,86.2671128577799,128.536944553726
"ENSMUSG00000006369",1063.63196808627,1029.94144589062,1147.68373435371,1099.37822579671,952.026290894932,1149.51836924207,1063.96501103451,1171.4129857361,2433.80158950613,2157.09399381477,1437.19231317703,2562.55926733018
"ENSMUSG00000006411",29.1043573356938,87.1665366232595,120.386405701438,40.1060726149014,34.7888395068558,104.299929255555,28.5354600660597,20.4997272503817,28.4239601694146,17.7018264439665,22.2337919736546,18.6962828441783
"ENSMUSG00000006526",930.457484519909,721.417783368819,706.840182047016,810.378584895214,784.021651325238,757.838847676,941.67018217997,976.66557685747,1003.12892764559,947.469186810396,1043.20951940387,872.882705287572
"ENSMUSG00000006800",7112.04659257682,6922.85809286835,5366.36735129125,8866.98081900629,8774.42413025355,7277.69399986367,11250.105131044,12106.5532075826,13070.2843512358,11446.3381563153,12560.313761757,11472.5065602589
"ENSMUSG00000006931",250.473863131426,235.120263260108,248.225303184394,290.179231272522,283.401765738776,204.161563649171,284.335477086809,304.567376291385,454.783362710634,449.289214030197,386.86798034159,447.542270582517
"ENSMUSG00000006998",3840.011267867,3188.46015542976,3161.5763211592,3666.1668731504,3659.6162144651,3357.57006305648,4117.2592381029,4262.47900184722,4278.99033717063,3697.99583855623,3934.49182765792,3953.09530386594
"ENSMUSG00000007039",419.808305811826,467.946670293288,460.334684658357,526.097305477824,435.284747976025,525.937941139713,550.326729845437,594.492090261069,722.442320972621,581.631440301756,608.31654839919,530.507025703558
"ENSMUSG00000007564",4990.07435773805,4468.43193005552,4043.26342577259,4784.41854488353,4928.98460232501,4608.05964040765,5225.04656281029,6248.0240126699,5865.99477996294,5018.88926892269,5342.33553542973,5234.95919636991
"ENSMUSG00000007655",60552.9383622445,50471.7185610942,46258.1897564783,63709.6759391419,66484.866330724,51206.8269696155,74187.1005538863,76898.8697148782,59826.5144982491,79289.009474875,75191.1270481841,70757.2509414704
"ENSMUSG00000007815",3555.14134606612,3290.53675752805,3084.18506035113,3570.62005309725,3775.86184891484,3061.31388102208,3882.8608161317,4302.01419011581,3999.48806217138,3863.21288536659,3972.73394985261,3990.4878695543
