"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ENTREZID_id"
"ENSMUSG00000000126",219.169377288621,-0.523951674910092,0.145085748922527,-3.61132419139161,0.00030463756570683,0.0044785930754392,"216795"
"ENSMUSG00000000326",8016.96978708598,-0.622136461760226,0.166673625097544,-3.73266292969944,0.000189466063337062,0.00308724796254996,"12846"
"ENSMUSG00000000753",4273.07675175842,-0.820557107415646,0.157588665902802,-5.20695509867284,1.91964520148009e-07,9.45066609155714e-06,"20317"
"ENSMUSG00000001313",136.64898148072,-0.578179043188177,0.110945462287954,-5.21138072044386,1.87440340982257e-07,9.32751682427536e-06,"11858"
"ENSMUSG00000001552",7602.82302167856,-0.582823031494773,0.108936333502582,-5.35012527735717,8.78933665183172e-08,4.82506679529524e-06,"16480"
"ENSMUSG00000001741",498.665158082976,-0.52309256737661,0.12143908571379,-4.30744816878351,1.65148777891814e-05,0.000435174893972448,"16170"
"ENSMUSG00000001761",1592.80762907122,-0.614585877785714,0.061353279636738,-10.0171642237313,1.28126429631965e-23,8.48674117260645e-21,"319757"
"ENSMUSG00000002808",414.585229189371,-0.840828613053342,0.176775098663856,-4.75648787305844,1.96990066845977e-06,7.04175861691795e-05,"105298"
"ENSMUSG00000002831",82111.821821383,-0.714113821197564,0.115390479024928,-6.18867195311055,6.06731991631444e-10,5.95285842002085e-08,"57435"
"ENSMUSG00000002885",2103.08757101705,-0.650397263006731,0.117329115837727,-5.54335774511645,2.96725752534001e-08,1.85742265183501e-06,"26364"
"ENSMUSG00000003863",135.964411708447,-1.13188728597072,0.248226165266194,-4.55990320261728,5.11772052881624e-06,0.000161985909284298,"76787"
"ENSMUSG00000004698",249.831696452845,-0.989461683384623,0.226610529009788,-4.36635353047468,1.26337937915266e-05,0.000346777585936467,"79221"
"ENSMUSG00000004951",958.481603914717,-0.620367344659396,0.109625009905276,-5.65899465090528,1.52262300463276e-08,1.06383669929746e-06,"15507"
"ENSMUSG00000005338",648.006339158774,-0.54542353503957,0.127455847767103,-4.27931353951064,1.87470616252104e-05,0.000482596155699373,"94332"
"ENSMUSG00000005566",1951.45436933466,-0.903709589663191,0.102033326153379,-8.85700411554469,8.21935011269172e-19,3.34430851349933e-16,"21849"
"ENSMUSG00000005947",100.33310335547,-0.629984944826626,0.140450923464933,-4.48544537326533,7.27617870944036e-06,0.000217875879364498,"16407"
"ENSMUSG00000006369",3151.58604099508,-0.605356515437083,0.157663896899831,-3.83953794965303,0.00012326607561973,0.00222328929611909,"14114"
"ENSMUSG00000006800",8467.94904144474,-0.609279466759505,0.103330245704851,-5.89642909105072,3.7145227362929e-09,2.98759927522535e-07,"72043"
"ENSMUSG00000006931",446.713218579382,-0.593789544150804,0.13371980442898,-4.44055049800924,8.97290453473544e-06,0.000258914939277362,"66180"
"ENSMUSG00000009281",2928.58184698387,-0.877049800418957,0.128783936846349,-6.81024219243552,9.74345731382341e-12,1.28372369980412e-09,"71660"
"ENSMUSG00000012705",22602.4067241451,-0.832742870058739,0.176893839615143,-4.70758547539295,2.50668184138544e-06,8.69108686559552e-05,"57264"
"ENSMUSG00000014776",855.566368312914,-0.66458372098317,0.157382833862794,-4.22272051323306,2.41371055032594e-05,0.000594150742939663,"78688"
"ENSMUSG00000015354",1016.77147733908,-1.12766270708504,0.214274900681176,-5.26269154016744,1.41961642262083e-07,7.32797522034948e-06,"76477"
"ENSMUSG00000015627",112.376499174961,-1.04748845267683,0.264980324164114,-3.9530801238966,7.71515880223729e-05,0.00156811464156185,"14464"
"ENSMUSG00000015702",212.732248710707,-0.829388734212951,0.147821750589793,-5.61073543577841,2.01468571231597e-08,1.33046988462744e-06,"71790"
"ENSMUSG00000015850",1334.51265063643,-0.519168853640215,0.101840279334888,-5.09787342523871,3.4349035825249e-07,1.53781411523138e-05,"229595"
"ENSMUSG00000015957",195.493258819055,-0.847080108849998,0.160550019616586,-5.27611339365098,1.3195245733326e-07,6.86251990506888e-06,"22411"
"ENSMUSG00000016458",761.374911687317,-0.653949573203671,0.194205083770057,-3.36731439007005,0.000759041022230628,0.00867099380804171,"22431"
"ENSMUSG00000016918",1488.87311050224,-0.652115873995084,0.139764790993065,-4.66580938848498,3.07404570827423e-06,0.000105003329205594,"240725"
"ENSMUSG00000018340",14796.8647359272,-0.625828024714949,0.136631424292463,-4.58041060433761,4.64063944554877e-06,0.000149299083929585,"11749"
"ENSMUSG00000018507",406.180950316372,-0.740575177231116,0.187347364841305,-3.95295219582315,7.71928633008255e-05,0.00156811464156185,"22368"
"ENSMUSG00000018819",3236.65834780512,-0.549098133906422,0.157240389976936,-3.49209343723303,0.000479250567131143,0.00617170718450114,"16985"
"ENSMUSG00000019326",43485.0986891038,-0.745862171848466,0.107228428331742,-6.95582490065907,3.50504987704026e-12,5.32844615373352e-10,"11754"
