"","x"
"ENSMUSG00000000126","216795"
"ENSMUSG00000000326","12846"
"ENSMUSG00000000753","20317"
"ENSMUSG00000001313","11858"
"ENSMUSG00000001552","16480"
"ENSMUSG00000001741","16170"
"ENSMUSG00000001761","319757"
"ENSMUSG00000002808","105298"
"ENSMUSG00000002831","57435"
"ENSMUSG00000002885","26364"
"ENSMUSG00000003863","76787"
"ENSMUSG00000004698","79221"
"ENSMUSG00000004951","15507"
"ENSMUSG00000005338","94332"
"ENSMUSG00000005566","21849"
"ENSMUSG00000005947","16407"
"ENSMUSG00000006369","14114"
"ENSMUSG00000006800","72043"
"ENSMUSG00000006931","66180"
"ENSMUSG00000009281","71660"
"ENSMUSG00000012705","57264"
"ENSMUSG00000014776","78688"
"ENSMUSG00000015354","76477"
"ENSMUSG00000015627","14464"
"ENSMUSG00000015702","71790"
"ENSMUSG00000015850","229595"
"ENSMUSG00000015957","22411"
"ENSMUSG00000016458","22431"
"ENSMUSG00000016918","240725"
"ENSMUSG00000018340","11749"
"ENSMUSG00000018507","22368"
"ENSMUSG00000018819","16985"
"ENSMUSG00000019326","11754"
"ENSMUSG00000020150","14431"
"ENSMUSG00000020251","74782"
"ENSMUSG00000020325","83554"
"ENSMUSG00000020363","14584"
"ENSMUSG00000020473","11568"
"ENSMUSG00000020614","208659"
"ENSMUSG00000020788","53313"
"ENSMUSG00000021198","217843"
"ENSMUSG00000021213","27384"
"ENSMUSG00000021414","71864"
"ENSMUSG00000021760","69590"
"ENSMUSG00000021974","14180"
"ENSMUSG00000022053","13592"
"ENSMUSG00000022090","213019"
"ENSMUSG00000022096","15460"
"ENSMUSG00000022099","13829"
"ENSMUSG00000022181","12274"
"ENSMUSG00000022186","67041"
"ENSMUSG00000022257","114128"
"ENSMUSG00000022324","17181"
"ENSMUSG00000022425","18606"
"ENSMUSG00000022468","19011"
"ENSMUSG00000022665","67896"
"ENSMUSG00000022687","117606"
"ENSMUSG00000022817","16419"
"ENSMUSG00000022894","23794"
"ENSMUSG00000023046","16012"
"ENSMUSG00000023064","20618"
"ENSMUSG00000023094","76467"
"ENSMUSG00000023473","107934"
"ENSMUSG00000023828","20519"
"ENSMUSG00000023885","21826"
"ENSMUSG00000024053","246707"
"ENSMUSG00000024065","57440"
"ENSMUSG00000024177","56520"
"ENSMUSG00000024299","224697"
"ENSMUSG00000024302","13527"
"ENSMUSG00000024659","16952"
"ENSMUSG00000024940","16998"
"ENSMUSG00000024968","104383"
"ENSMUSG00000024990","19662"
"ENSMUSG00000025105","12173"
"ENSMUSG00000025347","71664"
"ENSMUSG00000025461","244233"
"ENSMUSG00000025784","21922"
"ENSMUSG00000025854","80752"
"ENSMUSG00000026042","12832"
"ENSMUSG00000026064","19243"
"ENSMUSG00000026109","56363"
"ENSMUSG00000026249","20720"
"ENSMUSG00000026278","51800"
"ENSMUSG00000026335","18484"
"ENSMUSG00000026387","319229"
"ENSMUSG00000026525","13603"
"ENSMUSG00000026574","56429"
"ENSMUSG00000026676","74186"
"ENSMUSG00000026748","67448"
"ENSMUSG00000026749","59126"
"ENSMUSG00000026860","227700"
"ENSMUSG00000026938","14133"
"ENSMUSG00000027254","17754"
"ENSMUSG00000027420","12075"
"ENSMUSG00000027513","18534"
"ENSMUSG00000027546","11981"
"ENSMUSG00000027574","58237"
"ENSMUSG00000027840","22414"
"ENSMUSG00000027932","26568"
"ENSMUSG00000027978","19142"
"ENSMUSG00000028036","19220"
"ENSMUSG00000028108","13601"
"ENSMUSG00000028583","14726"
"ENSMUSG00000028681","19207"
"ENSMUSG00000028763","15530"
"ENSMUSG00000028782","230775"
"ENSMUSG00000028807","73680"
"ENSMUSG00000029096","78558"
"ENSMUSG00000029126","18196"
"ENSMUSG00000029570","16848"
"ENSMUSG00000029633",NA
"ENSMUSG00000029659","70717"
"ENSMUSG00000029843","243755"
"ENSMUSG00000029847","243753"
"ENSMUSG00000029861","76156"
"ENSMUSG00000029869","13848"
"ENSMUSG00000030108","14412"
"ENSMUSG00000030116","50530"
"ENSMUSG00000030278","14311"
"ENSMUSG00000030323","81896"
"ENSMUSG00000030401","20167"
"ENSMUSG00000030545","18631"
"ENSMUSG00000030708","69387"
"ENSMUSG00000030787","114332"
"ENSMUSG00000030905","12971"
"ENSMUSG00000031093","75974"
"ENSMUSG00000031137","14168"
"ENSMUSG00000031245","50887"
"ENSMUSG00000031253","68792"
"ENSMUSG00000031398","18846"
"ENSMUSG00000031493","243897"
"ENSMUSG00000031517","234267"
"ENSMUSG00000031698","213435"
"ENSMUSG00000031748","14681"
"ENSMUSG00000031906","58994"
"ENSMUSG00000032024","71566"
"ENSMUSG00000032131","192663"
"ENSMUSG00000032135","84004"
"ENSMUSG00000032181","20255"
"ENSMUSG00000032192","14697"
"ENSMUSG00000032419","76365"
"ENSMUSG00000032554","22041"
"ENSMUSG00000032584","19882"
"ENSMUSG00000032839","22063"
"ENSMUSG00000033208","20203"
"ENSMUSG00000033249","26386"
"ENSMUSG00000033327","81877"
"ENSMUSG00000033488","226527"
"ENSMUSG00000034463","219151"
"ENSMUSG00000034520","14615"
"ENSMUSG00000034656","12286"
"ENSMUSG00000034675","56320"
"ENSMUSG00000034687","231470"
"ENSMUSG00000034910","72135"
"ENSMUSG00000034936","80981"
"ENSMUSG00000035085","66330"
"ENSMUSG00000035105","112407"
"ENSMUSG00000035277","11878"
"ENSMUSG00000035355","380728"
"ENSMUSG00000035403","241324"
"ENSMUSG00000035863","18483"
"ENSMUSG00000035930","26887"
"ENSMUSG00000036019","278279"
"ENSMUSG00000036103","140792"
"ENSMUSG00000036106","109270"
"ENSMUSG00000036136","104943"
"ENSMUSG00000036611","67484"
"ENSMUSG00000037005","170745"
"ENSMUSG00000037014","20608"
"ENSMUSG00000037060","109042"
"ENSMUSG00000037086","68800"
"ENSMUSG00000037206","26968"
"ENSMUSG00000037224","231125"
"ENSMUSG00000037406","330723"
"ENSMUSG00000037887","18218"
"ENSMUSG00000037994","97086"
"ENSMUSG00000038473","70729"
"ENSMUSG00000038725","192190"
"ENSMUSG00000039037","26938"
"ENSMUSG00000039518","386463"
"ENSMUSG00000039646","246154"
"ENSMUSG00000039787","99151"
"ENSMUSG00000039960","69581"
"ENSMUSG00000039976","207592"
"ENSMUSG00000040035","214240"
"ENSMUSG00000040511","52118"
"ENSMUSG00000040703","74134"
"ENSMUSG00000041117","434130"
"ENSMUSG00000041120","17965"
"ENSMUSG00000041548","80888"
"ENSMUSG00000041559","14264"
"ENSMUSG00000041609","75665"
"ENSMUSG00000041653","116939"
"ENSMUSG00000041737","235135"
"ENSMUSG00000041794","245049"
"ENSMUSG00000041930","433940"
"ENSMUSG00000041957","67451"
"ENSMUSG00000042190","14747"
"ENSMUSG00000042258","16392"
"ENSMUSG00000042357","14622"
"ENSMUSG00000042770","15199"
"ENSMUSG00000042985","100647"
"ENSMUSG00000043110","320974"
"ENSMUSG00000043259","71721"
"ENSMUSG00000043463","319642"
"ENSMUSG00000043822","66548"
"ENSMUSG00000044017","243277"
"ENSMUSG00000044177","278507"
"ENSMUSG00000044285","218963"
"ENSMUSG00000044534","59289"
"ENSMUSG00000044734","66222"
"ENSMUSG00000045211","213484"
"ENSMUSG00000045392","258571"
"ENSMUSG00000045838","214239"
"ENSMUSG00000046056","282619"
"ENSMUSG00000046215","104582"
"ENSMUSG00000046714","14234"
"ENSMUSG00000046733","232431"
"ENSMUSG00000046844","270097"
"ENSMUSG00000047821","94092"
"ENSMUSG00000048387","23967"
"ENSMUSG00000048814","381338"
"ENSMUSG00000049152","223337"
"ENSMUSG00000049281","235281"
"ENSMUSG00000049313","20660"
"ENSMUSG00000049588","52570"
"ENSMUSG00000049907","68939"
"ENSMUSG00000049932","15270"
"ENSMUSG00000050064","242109"
"ENSMUSG00000050222","239114"
"ENSMUSG00000050541","11548"
"ENSMUSG00000051000","229488"
"ENSMUSG00000051022","15476"
"ENSMUSG00000051146","73047"
"ENSMUSG00000051225","239463"
"ENSMUSG00000051851","72865"
"ENSMUSG00000053398","236539"
"ENSMUSG00000053522","16858"
"ENSMUSG00000054162","72902"
"ENSMUSG00000054204","100294583"
"ENSMUSG00000054423","27062"
"ENSMUSG00000055027","12180"
"ENSMUSG00000055172","50909"
"ENSMUSG00000055254","18212"
"ENSMUSG00000056476","329650"
"ENSMUSG00000056481","70445"
"ENSMUSG00000056602","320365"
"ENSMUSG00000056856","74004"
"ENSMUSG00000056899","93757"
"ENSMUSG00000057346","223672"
"ENSMUSG00000057716","434008"
"ENSMUSG00000057766","225187"
"ENSMUSG00000057880","268860"
"ENSMUSG00000057967","14172"
"ENSMUSG00000059022","333088"
"ENSMUSG00000060402","68947"
"ENSMUSG00000060981","69386"
"ENSMUSG00000061100","57262"
"ENSMUSG00000061451","381199"
"ENSMUSG00000062309","102614"
"ENSMUSG00000062609","16516"
"ENSMUSG00000062785","16504"
"ENSMUSG00000063011","56047"
"ENSMUSG00000063727","18383"
"ENSMUSG00000063856","14775"
"ENSMUSG00000064080","14115"
"ENSMUSG00000067235","15007"
"ENSMUSG00000067649","215641"
"ENSMUSG00000067786","18111"
"ENSMUSG00000067924","553127"
"ENSMUSG00000067925","66158"
"ENSMUSG00000068246","71898"
"ENSMUSG00000068522","239435"
"ENSMUSG00000069920","97440"
"ENSMUSG00000071656","68852"
"ENSMUSG00000071984","68655"
"ENSMUSG00000072941","20657"
"ENSMUSG00000073209","619665"
"ENSMUSG00000074657","16572"
"ENSMUSG00000078695","217149"
"ENSMUSG00000079355","252837"
"ENSMUSG00000079445","227327"
"ENSMUSG00000079669","102635502"
"ENSMUSG00000081058","97114"
"ENSMUSG00000083443",NA
"ENSMUSG00000083701","236893"
"ENSMUSG00000085998","331578"
"ENSMUSG00000086567",NA
"ENSMUSG00000090122","66240"
"ENSMUSG00000090247","14533"
"ENSMUSG00000091243","73569"
"ENSMUSG00000094910","268595"
"ENSMUSG00000095742",NA
"ENSMUSG00000097177","319673"
"ENSMUSG00000097286",NA
"ENSMUSG00000097327","319887"
"ENSMUSG00000097767","330166"
"ENSMUSG00000100658",NA
"ENSMUSG00000101089","100503074"
"ENSMUSG00000101431","666036"
"ENSMUSG00000101925",NA
"ENSMUSG00000102059","100504501"
"ENSMUSG00000102752","665574"
"ENSMUSG00000103965","102631981"
"ENSMUSG00000109130",NA
"ENSMUSG00000109564","73732"
"ENSMUSG00000110580",NA
"ENSMUSG00000110884",NA
"ENSMUSG00000111348",NA
"ENSMUSG00000111468",NA
"ENSMUSG00000115100",NA
"ENSMUSG00000116165","57028"
