"","x"
"ENSMUSG00000000263","14654"
"ENSMUSG00000000320","11684"
"ENSMUSG00000000365","30054"
"ENSMUSG00000000385","50528"
"ENSMUSG00000000567","20682"
"ENSMUSG00000001036","13855"
"ENSMUSG00000001270","12709"
"ENSMUSG00000001999","109778"
"ENSMUSG00000003279","224997"
"ENSMUSG00000003410","15571"
"ENSMUSG00000004637","80707"
"ENSMUSG00000006219","74202"
"ENSMUSG00000008136","14200"
"ENSMUSG00000010492","100271841"
"ENSMUSG00000010651","235674"
"ENSMUSG00000013418","14422"
"ENSMUSG00000014602","16560"
"ENSMUSG00000014905","27362"
"ENSMUSG00000015090","19215"
"ENSMUSG00000015476","260297"
"ENSMUSG00000015647","16776"
"ENSMUSG00000015882","209707"
"ENSMUSG00000015981","57740"
"ENSMUSG00000016194","15483"
"ENSMUSG00000017390","11676"
"ENSMUSG00000018126","207495"
"ENSMUSG00000018387","71774"
"ENSMUSG00000019590","13056"
"ENSMUSG00000019866","11630"
"ENSMUSG00000019990","29863"
"ENSMUSG00000019996","17761"
"ENSMUSG00000020010","26464"
"ENSMUSG00000020014","380654"
"ENSMUSG00000020131","18551"
"ENSMUSG00000020142","55963"
"ENSMUSG00000020155","16533"
"ENSMUSG00000020524","14799"
"ENSMUSG00000020599","19739"
"ENSMUSG00000020654","104111"
"ENSMUSG00000020774","11484"
"ENSMUSG00000020839","66601"
"ENSMUSG00000020875","15417"
"ENSMUSG00000020904","71860"
"ENSMUSG00000021061","20741"
"ENSMUSG00000021209","74521"
"ENSMUSG00000021322","27052"
"ENSMUSG00000021456","14120"
"ENSMUSG00000021478","13488"
"ENSMUSG00000021508","57266"
"ENSMUSG00000021696","74559"
"ENSMUSG00000021751","93732"
"ENSMUSG00000021879","110083"
"ENSMUSG00000022270","66270"
"ENSMUSG00000022309","11600"
"ENSMUSG00000022464","69354"
"ENSMUSG00000022490","58200"
"ENSMUSG00000022656","58998"
"ENSMUSG00000022747","54613"
"ENSMUSG00000022849","66667"
"ENSMUSG00000022881","106344"
"ENSMUSG00000022884","13682"
"ENSMUSG00000022900","106347"
"ENSMUSG00000022995","13800"
"ENSMUSG00000023156","67053"
"ENSMUSG00000023274","12504"
"ENSMUSG00000023349","56620"
"ENSMUSG00000023367","66058"
"ENSMUSG00000023800","24001"
"ENSMUSG00000023915","94185"
"ENSMUSG00000024063","77889"
"ENSMUSG00000024479","105853"
"ENSMUSG00000024561","17190"
"ENSMUSG00000024589","83814"
"ENSMUSG00000024617","12322"
"ENSMUSG00000024640","107272"
"ENSMUSG00000024670","12511"
"ENSMUSG00000025069","68214"
"ENSMUSG00000025133","101861"
"ENSMUSG00000025176","67432"
"ENSMUSG00000025245","93730"
"ENSMUSG00000025277","66082"
"ENSMUSG00000025420","71206"
"ENSMUSG00000025964","23792"
"ENSMUSG00000025981","67876"
"ENSMUSG00000026175","22349"
"ENSMUSG00000026227","72792"
"ENSMUSG00000026303","171531"
"ENSMUSG00000026527","24012"
"ENSMUSG00000026655","66540"
"ENSMUSG00000026692","226564"
"ENSMUSG00000026765","71897"
"ENSMUSG00000026888","50915"
"ENSMUSG00000026915","20744"
"ENSMUSG00000027171","228413"
"ENSMUSG00000027227","20322"
"ENSMUSG00000027242","241627"
"ENSMUSG00000027315","20732"
"ENSMUSG00000027375","17153"
"ENSMUSG00000027661","170441"
"ENSMUSG00000027680","14359"
"ENSMUSG00000027761","67758"
"ENSMUSG00000027797","13175"
"ENSMUSG00000027820","17380"
"ENSMUSG00000027894","229706"
"ENSMUSG00000027955","68659"
"ENSMUSG00000027962","22329"
"ENSMUSG00000028031","56811"
"ENSMUSG00000028128","14066"
"ENSMUSG00000028133","66568"
"ENSMUSG00000028150","19885"
"ENSMUSG00000028158","17777"
"ENSMUSG00000028278","52187"
"ENSMUSG00000028369","64817"
"ENSMUSG00000028382","230257"
"ENSMUSG00000028459","12517"
"ENSMUSG00000028488","20404"
"ENSMUSG00000028542","14664"
"ENSMUSG00000028572","77963"
"ENSMUSG00000028766","11647"
"ENSMUSG00000028933","57434"
"ENSMUSG00000028964","57320"
"ENSMUSG00000029304","20750"
"ENSMUSG00000029335","110075"
"ENSMUSG00000029359","57816"
"ENSMUSG00000029417","17329"
"ENSMUSG00000029420","231760"
"ENSMUSG00000029752","27053"
"ENSMUSG00000029822","71720"
"ENSMUSG00000029833","21848"
"ENSMUSG00000030110","19713"
"ENSMUSG00000030162","108078"
"ENSMUSG00000030256","79362"
"ENSMUSG00000030483","13088"
"ENSMUSG00000030513","18553"
"ENSMUSG00000030605","17304"
"ENSMUSG00000030606","67666"
"ENSMUSG00000030701","27276"
"ENSMUSG00000030774","18479"
"ENSMUSG00000030825","66065"
"ENSMUSG00000030826","12036"
"ENSMUSG00000030862","55987"
"ENSMUSG00000030889","233813"
"ENSMUSG00000030935","20216"
"ENSMUSG00000031351","22673"
"ENSMUSG00000031367","108012"
"ENSMUSG00000031375","12111"
"ENSMUSG00000031381","18700"
"ENSMUSG00000031647","71306"
"ENSMUSG00000031709","71310"
"ENSMUSG00000031725","234564"
"ENSMUSG00000031734","16373"
"ENSMUSG00000031767","67528"
"ENSMUSG00000031775","67801"
"ENSMUSG00000031937","69137"
"ENSMUSG00000032018","235293"
"ENSMUSG00000032172","244723"
"ENSMUSG00000032224","76886"
"ENSMUSG00000032261","212531"
"ENSMUSG00000032278","74090"
"ENSMUSG00000032281","94180"
"ENSMUSG00000032315","13076"
"ENSMUSG00000032425","71640"
"ENSMUSG00000032452","64085"
"ENSMUSG00000032595","69398"
"ENSMUSG00000032712","67246"
"ENSMUSG00000032911","121021"
"ENSMUSG00000032940","224344"
"ENSMUSG00000033701","72482"
"ENSMUSG00000033904","101565"
"ENSMUSG00000033948","74464"
"ENSMUSG00000034435","238257"
"ENSMUSG00000034645","230590"
"ENSMUSG00000034780","26877"
"ENSMUSG00000034818","319586"
"ENSMUSG00000034918","268663"
"ENSMUSG00000035095","219148"
"ENSMUSG00000035104","232146"
"ENSMUSG00000035226","241770"
"ENSMUSG00000035769","102448"
"ENSMUSG00000035834","67486"
"ENSMUSG00000035860","68764"
"ENSMUSG00000036333","77480"
"ENSMUSG00000036814","102680"
"ENSMUSG00000037108","381678"
"ENSMUSG00000037624","16526"
"ENSMUSG00000038132","666794"
"ENSMUSG00000038174","213056"
"ENSMUSG00000038295","213948"
"ENSMUSG00000038522","215929"
"ENSMUSG00000038570","330577"
"ENSMUSG00000038608","210293"
"ENSMUSG00000038754","12686"
"ENSMUSG00000038775","22351"
"ENSMUSG00000038932","277353"
"ENSMUSG00000039021","338348"
"ENSMUSG00000039131","54120"
"ENSMUSG00000039238","319530"
"ENSMUSG00000039456","338467"
"ENSMUSG00000039552","212892"
"ENSMUSG00000039648","70266"
"ENSMUSG00000039735","214459"
"ENSMUSG00000039753","242960"
"ENSMUSG00000039958","320204"
"ENSMUSG00000040350","94089"
"ENSMUSG00000040740","384071"
"ENSMUSG00000041592","237979"
"ENSMUSG00000041660","170442"
"ENSMUSG00000041757","240753"
"ENSMUSG00000042216","52850"
"ENSMUSG00000042429","11539"
"ENSMUSG00000042589","13048"
"ENSMUSG00000042686","57339"
"ENSMUSG00000043003","242505"
"ENSMUSG00000043004","14702"
"ENSMUSG00000043168","74644"
"ENSMUSG00000043924","230822"
"ENSMUSG00000044320","73598"
"ENSMUSG00000044352","237761"
"ENSMUSG00000044712","625098"
"ENSMUSG00000044948","100048534"
"ENSMUSG00000044986","22117"
"ENSMUSG00000045094","328967"
"ENSMUSG00000046415","338360"
"ENSMUSG00000046764","208079"
"ENSMUSG00000046818","73284"
"ENSMUSG00000047036","235682"
"ENSMUSG00000047094","218165"
"ENSMUSG00000047141","72020"
"ENSMUSG00000047344","236285"
"ENSMUSG00000047446","11861"
"ENSMUSG00000047746","207215"
"ENSMUSG00000047773","382543"
"ENSMUSG00000048022","319832"
"ENSMUSG00000048416","17349"
"ENSMUSG00000048644","330695"
"ENSMUSG00000049086","107771"
"ENSMUSG00000049134","18175"
"ENSMUSG00000049580","244152"
"ENSMUSG00000050379","56526"
"ENSMUSG00000051166","319670"
"ENSMUSG00000051985","226438"
"ENSMUSG00000052595","69865"
"ENSMUSG00000052783","14772"
"ENSMUSG00000052861","330355"
"ENSMUSG00000052974","13107"
"ENSMUSG00000053168","105892"
"ENSMUSG00000053846","16891"
"ENSMUSG00000054196","68588"
"ENSMUSG00000055296","242474"
"ENSMUSG00000055413","15016"
"ENSMUSG00000055430","58243"
"ENSMUSG00000056019","236193"
"ENSMUSG00000056133","667055"
"ENSMUSG00000056214","93737"
"ENSMUSG00000056216","12611"
"ENSMUSG00000056290","60361"
"ENSMUSG00000056367","242894"
"ENSMUSG00000056900","72607"
"ENSMUSG00000057246","407788"
"ENSMUSG00000057378","20192"
"ENSMUSG00000057715","320492"
"ENSMUSG00000059089","246256"
"ENSMUSG00000060550","15018"
"ENSMUSG00000061086","17896"
"ENSMUSG00000061371","408062"
"ENSMUSG00000061576","13483"
"ENSMUSG00000061878","20698"
"ENSMUSG00000062444","11775"
"ENSMUSG00000062545","384059"
"ENSMUSG00000064267","74096"
"ENSMUSG00000064325","15245"
"ENSMUSG00000066057","100038746"
"ENSMUSG00000067199","14296"
"ENSMUSG00000068299","75541"
"ENSMUSG00000069601","11735"
"ENSMUSG00000069755","382686"
"ENSMUSG00000069805","14121"
"ENSMUSG00000070407","54710"
"ENSMUSG00000070465","676914"
"ENSMUSG00000070570","72961"
"ENSMUSG00000071604","381217"
"ENSMUSG00000072949","26897"
"ENSMUSG00000073179",NA
"ENSMUSG00000073409","110557"
"ENSMUSG00000073591","93893"
"ENSMUSG00000073988","50500"
"ENSMUSG00000074165","67607"
"ENSMUSG00000074259","546134"
"ENSMUSG00000074829","630836"
"ENSMUSG00000074863","435366"
"ENSMUSG00000075225","75973"
"ENSMUSG00000078161","209601"
"ENSMUSG00000078706",NA
"ENSMUSG00000081189",NA
"ENSMUSG00000084950","434064"
"ENSMUSG00000085180",NA
"ENSMUSG00000085682","383773"
"ENSMUSG00000085795","353310"
"ENSMUSG00000085971",NA
"ENSMUSG00000086474",NA
"ENSMUSG00000087382","74161"
"ENSMUSG00000089997","613264"
"ENSMUSG00000090622","320700"
"ENSMUSG00000090626","21778"
"ENSMUSG00000091586","208285"
"ENSMUSG00000092021","634650"
"ENSMUSG00000097113","100503460"
"ENSMUSG00000097121","319760"
"ENSMUSG00000097174",NA
"ENSMUSG00000097254","320021"
"ENSMUSG00000097440",NA
"ENSMUSG00000103332","93710"
"ENSMUSG00000103472","93715"
"ENSMUSG00000104346","93711"
"ENSMUSG00000108207",NA
"ENSMUSG00000108841","268729"
"ENSMUSG00000109644","71661"
"ENSMUSG00000109771","102638847"
"ENSMUSG00000110332","100503868"
"ENSMUSG00000110344",NA
"ENSMUSG00000110755","115487218"
"ENSMUSG00000111840",NA
