Run	Sample Characteristic[age]	Sample Characteristic Ontology Term[age]	Sample Characteristic[developmental stage]	Sample Characteristic Ontology Term[developmental stage]	Sample Characteristic[genotype]	Sample Characteristic Ontology Term[genotype]	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Sample Characteristic[sex]	Sample Characteristic Ontology Term[sex]	Sample Characteristic[strain]	Sample Characteristic Ontology Term[strain]	Factor Value[genotype]	Factor Value Ontology Term[genotype]	Factor Value[sex]	Factor Value Ontology Term[sex]	Analysed
ERR4873299	24 week		adult	http://www.ebi.ac.uk/efo/EFO_0001272	adipose tissue specific Trim28 knockout		Mus musculus	http://purl.obolibrary.org/obo/NCBITaxon_10090	adipose tissue of abdominal region	http://purl.obolibrary.org/obo/UBERON_0007808	female	http://purl.obolibrary.org/obo/PATO_0000383	C57BL/6J	http://www.ebi.ac.uk/efo/EFO_0000606	adipose tissue specific Trim28 knockout		female	http://purl.obolibrary.org/obo/PATO_0000383	Yes
ERR4873300	24 week		adult	http://www.ebi.ac.uk/efo/EFO_0001272	adipose tissue specific Trim28 knockout		Mus musculus	http://purl.obolibrary.org/obo/NCBITaxon_10090	adipose tissue of abdominal region	http://purl.obolibrary.org/obo/UBERON_0007808	female	http://purl.obolibrary.org/obo/PATO_0000383	C57BL/6J	http://www.ebi.ac.uk/efo/EFO_0000606	adipose tissue specific Trim28 knockout		female	http://purl.obolibrary.org/obo/PATO_0000383	Yes
ERR4873301	24 week		adult	http://www.ebi.ac.uk/efo/EFO_0001272	adipose tissue specific Trim28 knockout		Mus musculus	http://purl.obolibrary.org/obo/NCBITaxon_10090	adipose tissue of abdominal region	http://purl.obolibrary.org/obo/UBERON_0007808	female	http://purl.obolibrary.org/obo/PATO_0000383	C57BL/6J	http://www.ebi.ac.uk/efo/EFO_0000606	adipose tissue specific Trim28 knockout		female	http://purl.obolibrary.org/obo/PATO_0000383	Yes
ERR4873302	24 week		adult	http://www.ebi.ac.uk/efo/EFO_0001272	adipose tissue specific Trim28 knockout		Mus musculus	http://purl.obolibrary.org/obo/NCBITaxon_10090	adipose tissue of abdominal region	http://purl.obolibrary.org/obo/UBERON_0007808	female	http://purl.obolibrary.org/obo/PATO_0000383	C57BL/6J	http://www.ebi.ac.uk/efo/EFO_0000606	adipose tissue specific Trim28 knockout		female	http://purl.obolibrary.org/obo/PATO_0000383	Yes
ERR4873303	24 week		adult	http://www.ebi.ac.uk/efo/EFO_0001272	adipose tissue specific Trim28 knockout		Mus musculus	http://purl.obolibrary.org/obo/NCBITaxon_10090	adipose tissue of abdominal region	http://purl.obolibrary.org/obo/UBERON_0007808	female	http://purl.obolibrary.org/obo/PATO_0000383	C57BL/6J	http://www.ebi.ac.uk/efo/EFO_0000606	adipose tissue specific Trim28 knockout		female	http://purl.obolibrary.org/obo/PATO_0000383	Yes
ERR4873304	24 week		adult	http://www.ebi.ac.uk/efo/EFO_0001272	adipose tissue specific Trim28 knockout		Mus musculus	http://purl.obolibrary.org/obo/NCBITaxon_10090	adipose tissue of abdominal region	http://purl.obolibrary.org/obo/UBERON_0007808	male	http://purl.obolibrary.org/obo/PATO_0000384	C57BL/6J	http://www.ebi.ac.uk/efo/EFO_0000606	adipose tissue specific Trim28 knockout		male	http://purl.obolibrary.org/obo/PATO_0000384	Yes
ERR4873305	24 week		adult	http://www.ebi.ac.uk/efo/EFO_0001272	adipose tissue specific Trim28 knockout		Mus musculus	http://purl.obolibrary.org/obo/NCBITaxon_10090	adipose tissue of abdominal region	http://purl.obolibrary.org/obo/UBERON_0007808	male	http://purl.obolibrary.org/obo/PATO_0000384	C57BL/6J	http://www.ebi.ac.uk/efo/EFO_0000606	adipose tissue specific Trim28 knockout		male	http://purl.obolibrary.org/obo/PATO_0000384	Yes
ERR4873306	24 week		adult	http://www.ebi.ac.uk/efo/EFO_0001272	adipose tissue specific Trim28 knockout		Mus musculus	http://purl.obolibrary.org/obo/NCBITaxon_10090	adipose tissue of abdominal region	http://purl.obolibrary.org/obo/UBERON_0007808	male	http://purl.obolibrary.org/obo/PATO_0000384	C57BL/6J	http://www.ebi.ac.uk/efo/EFO_0000606	adipose tissue specific Trim28 knockout		male	http://purl.obolibrary.org/obo/PATO_0000384	Yes
ERR4873307	24 week		adult	http://www.ebi.ac.uk/efo/EFO_0001272	adipose tissue specific Trim28 knockout		Mus musculus	http://purl.obolibrary.org/obo/NCBITaxon_10090	adipose tissue of abdominal region	http://purl.obolibrary.org/obo/UBERON_0007808	male	http://purl.obolibrary.org/obo/PATO_0000384	C57BL/6J	http://www.ebi.ac.uk/efo/EFO_0000606	adipose tissue specific Trim28 knockout		male	http://purl.obolibrary.org/obo/PATO_0000384	Yes
ERR4873308	24 week		adult	http://www.ebi.ac.uk/efo/EFO_0001272	adipose tissue specific Trim28 knockout		Mus musculus	http://purl.obolibrary.org/obo/NCBITaxon_10090	adipose tissue of abdominal region	http://purl.obolibrary.org/obo/UBERON_0007808	male	http://purl.obolibrary.org/obo/PATO_0000384	C57BL/6J	http://www.ebi.ac.uk/efo/EFO_0000606	adipose tissue specific Trim28 knockout		male	http://purl.obolibrary.org/obo/PATO_0000384	Yes
ERR4873309	24 week		adult	http://www.ebi.ac.uk/efo/EFO_0001272	adipose tissue specific Trim28 knockout		Mus musculus	http://purl.obolibrary.org/obo/NCBITaxon_10090	adipose tissue of abdominal region	http://purl.obolibrary.org/obo/UBERON_0007808	male	http://purl.obolibrary.org/obo/PATO_0000384	C57BL/6J	http://www.ebi.ac.uk/efo/EFO_0000606	adipose tissue specific Trim28 knockout		male	http://purl.obolibrary.org/obo/PATO_0000384	Yes
ERR4873310	24 week		adult	http://www.ebi.ac.uk/efo/EFO_0001272	wild type genotype		Mus musculus	http://purl.obolibrary.org/obo/NCBITaxon_10090	adipose tissue of abdominal region	http://purl.obolibrary.org/obo/UBERON_0007808	female	http://purl.obolibrary.org/obo/PATO_0000383	C57BL/6J	http://www.ebi.ac.uk/efo/EFO_0000606	wild type genotype		female	http://purl.obolibrary.org/obo/PATO_0000383	Yes
ERR4873311	24 week		adult	http://www.ebi.ac.uk/efo/EFO_0001272	wild type genotype		Mus musculus	http://purl.obolibrary.org/obo/NCBITaxon_10090	adipose tissue of abdominal region	http://purl.obolibrary.org/obo/UBERON_0007808	female	http://purl.obolibrary.org/obo/PATO_0000383	C57BL/6J	http://www.ebi.ac.uk/efo/EFO_0000606	wild type genotype		female	http://purl.obolibrary.org/obo/PATO_0000383	Yes
ERR4873312	24 week		adult	http://www.ebi.ac.uk/efo/EFO_0001272	wild type genotype		Mus musculus	http://purl.obolibrary.org/obo/NCBITaxon_10090	adipose tissue of abdominal region	http://purl.obolibrary.org/obo/UBERON_0007808	female	http://purl.obolibrary.org/obo/PATO_0000383	C57BL/6J	http://www.ebi.ac.uk/efo/EFO_0000606	wild type genotype		female	http://purl.obolibrary.org/obo/PATO_0000383	Yes
ERR4873313	24 week		adult	http://www.ebi.ac.uk/efo/EFO_0001272	wild type genotype		Mus musculus	http://purl.obolibrary.org/obo/NCBITaxon_10090	adipose tissue of abdominal region	http://purl.obolibrary.org/obo/UBERON_0007808	female	http://purl.obolibrary.org/obo/PATO_0000383	C57BL/6J	http://www.ebi.ac.uk/efo/EFO_0000606	wild type genotype		female	http://purl.obolibrary.org/obo/PATO_0000383	Yes
