Source Name	ID	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[strain]	Characteristics[age]	Unit[time unit]	Term Source REF	Term Accession Number	Characteristics[developmental stage]	Characteristics[sex]	Characteristics[genotype]	Characteristics[organism part]	Material Type	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Protocol REF	Performer	Protocol REF	Performer	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[genotype]	Factor Value[sex]
F KO 231	X32_S24	ERS5383211	SAMEA7624924	Mus musculus	C57BL/6J	24	week	EFO	UO_0000034	adult	female	adipose tissue specific Trim28 knockout	adipose tissue of abdominal region	organism part	P-MTAB-103590	MMA Lab @ Baker	P-MTAB-103591	MMA Lab @ Baker	P-MTAB-103592	UCLA	F KO 231	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-103593	UCLA	F KO 231	sequencing assay	ERX4742161	32_S24_R1_001.fastq.gz	32_S24_R1_001.fastq.gz	ERR4873299	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR487/009/ERR4873299/ERR4873299.fastq.gz	P-MTAB-103594	Bioinformatics core @ Baker	P-MTAB-103595	Bioinformatics core @ Baker	Bond_etal_adi-cre_RNA-seq_RawCounts_FeatureCounts_GroupedGenotypes.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-9809/E-MTAB-9809.processed.1.zip	adipose tissue specific Trim28 knockout	female
F KO 243	X31_S23	ERS5383212	SAMEA7624925	Mus musculus	C57BL/6J	24	week	EFO	UO_0000034	adult	female	adipose tissue specific Trim28 knockout	adipose tissue of abdominal region	organism part	P-MTAB-103590	MMA Lab @ Baker	P-MTAB-103591	MMA Lab @ Baker	P-MTAB-103592	UCLA	F KO 243	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-103593	UCLA	F KO 243	sequencing assay	ERX4742162	31_S23_R1_001.fastq.gz	31_S23_R1_001.fastq.gz	ERR4873300	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR487/000/ERR4873300/ERR4873300.fastq.gz	P-MTAB-103594	Bioinformatics core @ Baker	P-MTAB-103595	Bioinformatics core @ Baker	Bond_etal_adi-cre_RNA-seq_RawCounts_FeatureCounts_GroupedGenotypes.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-9809/E-MTAB-9809.processed.1.zip	adipose tissue specific Trim28 knockout	female
F KO 260	X23_S17	ERS5383213	SAMEA7624926	Mus musculus	C57BL/6J	24	week	EFO	UO_0000034	adult	female	adipose tissue specific Trim28 knockout	adipose tissue of abdominal region	organism part	P-MTAB-103590	MMA Lab @ Baker	P-MTAB-103591	MMA Lab @ Baker	P-MTAB-103592	UCLA	F KO 260	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-103593	UCLA	F KO 260	sequencing assay	ERX4742163	23_S17_R1_001.fastq.gz	23_S17_R1_001.fastq.gz	ERR4873301	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR487/001/ERR4873301/ERR4873301.fastq.gz	P-MTAB-103594	Bioinformatics core @ Baker	P-MTAB-103595	Bioinformatics core @ Baker	Bond_etal_adi-cre_RNA-seq_RawCounts_FeatureCounts_GroupedGenotypes.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-9809/E-MTAB-9809.processed.1.zip	adipose tissue specific Trim28 knockout	female
F KO 262	X20_S15	ERS5383214	SAMEA7624927	Mus musculus	C57BL/6J	24	week	EFO	UO_0000034	adult	female	adipose tissue specific Trim28 knockout	adipose tissue of abdominal region	organism part	P-MTAB-103590	MMA Lab @ Baker	P-MTAB-103591	MMA Lab @ Baker	P-MTAB-103592	UCLA	F KO 262	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-103593	UCLA	F KO 262	sequencing assay	ERX4742164	20_S15_R1_001.fastq.gz	20_S15_R1_001.fastq.gz	ERR4873302	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR487/002/ERR4873302/ERR4873302.fastq.gz	P-MTAB-103594	Bioinformatics core @ Baker	P-MTAB-103595	Bioinformatics core @ Baker	Bond_etal_adi-cre_RNA-seq_RawCounts_FeatureCounts_GroupedGenotypes.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-9809/E-MTAB-9809.processed.1.zip	adipose tissue specific Trim28 knockout	female
F KO 270	X29_S21	ERS5383215	SAMEA7624928	Mus musculus	C57BL/6J	24	week	EFO	UO_0000034	adult	female	adipose tissue specific Trim28 knockout	adipose tissue of abdominal region	organism part	P-MTAB-103590	MMA Lab @ Baker	P-MTAB-103591	MMA Lab @ Baker	P-MTAB-103592	UCLA	F KO 270	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-103593	UCLA	F KO 270	sequencing assay	ERX4742165	29_S21_R1_001.fastq.gz	29_S21_R1_001.fastq.gz	ERR4873303	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR487/003/ERR4873303/ERR4873303.fastq.gz	P-MTAB-103594	Bioinformatics core @ Baker	P-MTAB-103595	Bioinformatics core @ Baker	Bond_etal_adi-cre_RNA-seq_RawCounts_FeatureCounts_GroupedGenotypes.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-9809/E-MTAB-9809.processed.1.zip	adipose tissue specific Trim28 knockout	female
M KO 239	X4_S4	ERS5383216	SAMEA7624929	Mus musculus	C57BL/6J	24	week	EFO	UO_0000034	adult	male	adipose tissue specific Trim28 knockout	adipose tissue of abdominal region	organism part	P-MTAB-103590	MMA Lab @ Baker	P-MTAB-103591	MMA Lab @ Baker	P-MTAB-103592	UCLA	M KO 239	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-103593	UCLA	M KO 239	sequencing assay	ERX4742166	4_S4_R1_001.fastq.gz	4_S4_R1_001.fastq.gz	ERR4873304	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR487/004/ERR4873304/ERR4873304.fastq.gz	P-MTAB-103594	Bioinformatics core @ Baker	P-MTAB-103595	Bioinformatics core @ Baker	Bond_etal_adi-cre_RNA-seq_RawCounts_FeatureCounts_GroupedGenotypes.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-9809/E-MTAB-9809.processed.1.zip	adipose tissue specific Trim28 knockout	male
M KO 241	X5_S5	ERS5383217	SAMEA7624930	Mus musculus	C57BL/6J	24	week	EFO	UO_0000034	adult	male	adipose tissue specific Trim28 knockout	adipose tissue of abdominal region	organism part	P-MTAB-103590	MMA Lab @ Baker	P-MTAB-103591	MMA Lab @ Baker	P-MTAB-103592	UCLA	M KO 241	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-103593	UCLA	M KO 241	sequencing assay	ERX4742167	5_S5_R1_001.fastq.gz	5_S5_R1_001.fastq.gz	ERR4873305	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR487/005/ERR4873305/ERR4873305.fastq.gz	P-MTAB-103594	Bioinformatics core @ Baker	P-MTAB-103595	Bioinformatics core @ Baker	Bond_etal_adi-cre_RNA-seq_RawCounts_FeatureCounts_GroupedGenotypes.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-9809/E-MTAB-9809.processed.1.zip	adipose tissue specific Trim28 knockout	male
M KO 254	X3_S3	ERS5383218	SAMEA7624931	Mus musculus	C57BL/6J	24	week	EFO	UO_0000034	adult	male	adipose tissue specific Trim28 knockout	adipose tissue of abdominal region	organism part	P-MTAB-103590	MMA Lab @ Baker	P-MTAB-103591	MMA Lab @ Baker	P-MTAB-103592	UCLA	M KO 254	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-103593	UCLA	M KO 254	sequencing assay	ERX4742168	3_S3_R1_001.fastq.gz	3_S3_R1_001.fastq.gz	ERR4873306	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR487/006/ERR4873306/ERR4873306.fastq.gz	P-MTAB-103594	Bioinformatics core @ Baker	P-MTAB-103595	Bioinformatics core @ Baker	Bond_etal_adi-cre_RNA-seq_RawCounts_FeatureCounts_GroupedGenotypes.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-9809/E-MTAB-9809.processed.1.zip	adipose tissue specific Trim28 knockout	male
M KO 274	X1_S1	ERS5383219	SAMEA7624932	Mus musculus	C57BL/6J	24	week	EFO	UO_0000034	adult	male	adipose tissue specific Trim28 knockout	adipose tissue of abdominal region	organism part	P-MTAB-103590	MMA Lab @ Baker	P-MTAB-103591	MMA Lab @ Baker	P-MTAB-103592	UCLA	M KO 274	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-103593	UCLA	M KO 274	sequencing assay	ERX4742169	1_S1_R1_001.fastq.gz	1_S1_R1_001.fastq.gz	ERR4873307	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR487/007/ERR4873307/ERR4873307.fastq.gz	P-MTAB-103594	Bioinformatics core @ Baker	P-MTAB-103595	Bioinformatics core @ Baker	Bond_etal_adi-cre_RNA-seq_RawCounts_FeatureCounts_GroupedGenotypes.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-9809/E-MTAB-9809.processed.1.zip	adipose tissue specific Trim28 knockout	male
M KO 281	X13_S11	ERS5383220	SAMEA7624933	Mus musculus	C57BL/6J	24	week	EFO	UO_0000034	adult	male	adipose tissue specific Trim28 knockout	adipose tissue of abdominal region	organism part	P-MTAB-103590	MMA Lab @ Baker	P-MTAB-103591	MMA Lab @ Baker	P-MTAB-103592	UCLA	M KO 281	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-103593	UCLA	M KO 281	sequencing assay	ERX4742170	13_S11_R1_001.fastq.gz	13_S11_R1_001.fastq.gz	ERR4873308	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR487/008/ERR4873308/ERR4873308.fastq.gz	P-MTAB-103594	Bioinformatics core @ Baker	P-MTAB-103595	Bioinformatics core @ Baker	Bond_etal_adi-cre_RNA-seq_RawCounts_FeatureCounts_GroupedGenotypes.csv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-9809/E-MTAB-9809.processed.1.zip	adipose tissue specific Trim28 knockout	male
